pid,Appliance_Type,Brand,kWh.yr,EER_Energy_Efficiency_Ratio,SEER_Seasonal_Energy_Efficiency_Ratio,Cooling_Capacity_BTUs,Energy_Star,Size,Product_Width_.in..,Product_Depth_.in..,Product_Height_.in..,Product_Volume_.cu._in..
04270062000P,Window Air Conditioners,Kenmore,420,10.7,-,6000,Yes,23.625 in. W x 18 in. D x 12.25 in. H,23.625,18,12.25,5209.3125
04289120000P,Window Air Conditioners,Frigidaire,910,9.8,-,12000,No,22.25 in. W x 21.375 in. D x 16.75 in. H,22.25,21.375,16.75,7966.195313
04202039000P,Air Purifiers & Dehumidifiers,Hisense,-,-,-,-,Yes,-,-,-,-,-
04234645000P,Accessories,Culligan,-,-,-,-,-,-,-,-,-,-
04219650000P,Air Purifiers & Dehumidifiers,SPT,-,-,-,-,Yes,-,-,-,-,-
04238505000P,Accessories,Culligan,-,-,-,-,-,-,-,-,-,-
04238520000P,Water Softeners,Kenmore Elite,-,-,-,-,-,17 in. W x 21 in. D x 48 in. H,17,21,48,17136
04201033000P,Portable Air Conditioners,SPT,9373.2,9.38,-,10000,No,12 in. W x 15 in. D x 29.61 in. H,12,15,29.61,5329.8
04219460000P,Air Purifiers & Dehumidifiers,SPT,-,-,-,-,No,-,-,-,-,-
04234922000P,Water Coolers & Filter Systems,Kenmore,-,-,-,-,-,-,-,-,-,-
04201017000P,Window Air Conditioners,Frigidaire,0,10.7,-,5000,No,16 in. W x 15.25 in. D x 12 in. H,16,15.25,12,2928
04205231000P,Air Purifiers & Dehumidifiers,Whirlpool,-,-,-,-,Yes,-,-,-,-,-
04201604000P,Window Air Conditioners,Keystone,917,9.8,-,10000,No,22.625 in. W x 21.4 in. D x 15.375 in. H,22.625,21.4,15.375,7444.190625
04201084000P,Portable Air Conditioners,DeLONGHI,0,10,-,12000,No,15.2 in. W x 17.8 in. D x 29.4 in. H,15.2,17.8,29.4,7954.464
04201010000P,Wall Air Conditioners,Frigidaire,805,9.4,-,10000,No,24 in. W x 20.5 in. D x 14.5 in. H,24,20.5,14.5,7134
04219350000P,Air Purifiers & Dehumidifiers,SPT,-,-,-,-,No,-,-,-,-,-
04234925000P,Accessories,No Brand,-,-,-,-,-,-,-,-,-,-
04234657000P,Accessories,Culligan,-,-,-,-,-,-,-,-,-,-
04203409000P,Water Softeners,Morton,-,-,-,-,-,-,-,-,-,-
04238356000P,Water Softeners,Kenmore,-,-,-,-,-,16.5 in. W x 19.75 in. D x 47.75 in. H,16.5,19.75,47.75,15560.53125
04270051000P,Window Air Conditioners,Kenmore,356,11,-,5200,No,18.5 in. W x 15.7 in. D x 12.5 in. H,18.5,15.7,12.5,3630.625
04201120000P,Window Air Conditioners,Sharp,8063,10.8,-,10000,Yes,19 in. W x 20.2 in. D x 14.4 in. H,19,20.2,14.4,5526.72
